kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (1473430),"BERENIKA - Vysoké Mýto, o.p.s.","Plk. B. Kohouta 914, Litomyšlské Předměstí, 566 01 Vysoké Mýto",26668149,"Odlehčovací služby Berenika - Vysoké Mýto, o.p.s.",Petra Řeháková,"Plk. B. Kohouta 914, Litomyšlské Předměstí, 566 01 Vysoké Mýto",1.9.2010,pobytové,"osoby s mentálním postižením
k mentálnímu postižení může být přidružené tělesné postižení","Dolní věková hranice u ambulantní formy služby je 10 let, u pobytové formy služby 12 let. Horní věková hranice u obou forem služby je 50 let.","počet lůžek - 2
Kapacita v odlehčovacích službách pobytových jsou 2 klienti z důvodu dvou lůžek. V jeden den se mohou v odlehčovacích službách vystřídat až 4 klienti (2 klienti ukončí pobyt během dopoledne a 2 klienti nastoupí odpoledne).",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (9698503),"Betanie - křesťanská pomoc, z. ú.","Joštova 141/7, Brno-město, 602 00 Brno 2",65349547,Odlehčovací služba,Ing. Jitka Bednářová,"Borky 1004/7, Maloměřice, 614 00 Brno 14",1.12.2014,pobytové,"osoby s tělesným postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 5,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (2900164),Centrin CZ s.r.o.,"K Trativodům 587, 281 63 Kostelec nad Černými Lesy",27656535,Centrin,"Mgr. et Bc. Helena Franclová, DiS.","Tyršovo náměstí 211, 273 51 Unhošť",1.9.2011,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 5,poskytuje nepřetržitě,"['724 372 112', '725 928 495', 'socialni@centrin.cz', 'http://www.centrin.cz']"
odlehčovací služby,Odlehčovací služby (5096770),Centrin CZ s.r.o.,"K Trativodům 587, 281 63 Kostelec nad Černými Lesy",27656535,Centrin,"Mgr. et Bc. Helena Franclová, DiS.","náměstí Míru 597, Zruč nad Sázavou, 285 22 Zruč nad Sázavou 1",20.7.2007,pobytové,"senioři
Krátkodobé pobyty pro seniory se zajištěným ubytováním, stravováním a pečovatelskou a ošetřovatelskou službou.","mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 10,poskytuje nepřetržitě,"['724 372 114', '724 372 116', 'senior@centrin.cz', 'http://centrin.cz']"
odlehčovací služby,Odlehčovací služby (8742757),"Centrum ÁČKO, příspěvková organizace","Husova 402/15, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",851710,Pobytová odlehčovací služba Centra ÁČKO,Mgr. Martina Vrátná,"Husova 402/15, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",1.1.2019,pobytové,"osoby se zdravotním postižením
rodiny s dítětem/dětmi","Osoby zdravotně postižené od 3 do 26 let s vážným podezřením, či již stanovenou diagnózou poruchy autistického spektra, ADHD, mentálním postižením a přidruženými diagnóznami. Rodiny s dětmi od 3 do 26 let s vážným podezřením, či již stanovenou diagnózou poruchy autistického spektra, ADHD, mentálním postižením a přidruženými diagnóznami.",počet lůžek - 2,"pondělí:
úterý:
středa:
čtvrtek:
pátek:
od 12:00
sobota:
nepřetržitě
neděle:
do 17:00","['739 306 865', 'martina.vratna@centrum-acko.cz', 'www.centrum-acko.cz']"
odlehčovací služby,Odlehčovací služby (2614238),"Centrum ÁČKO, příspěvková organizace","Husova 402/15, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",851710,Odlehčovací služby Centrum ÁČKO,Mgr. Martina Vrátná,"Husova 402/15, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",1.9.2017,ambulantní,"rodiny s dítětem/dětmi
rodiny s dětmi od 18 měsíců do 26 let s vážným podezřením, či již stanovenou diagnózou poruchy autistického spektra, ADHD, mentálním postižením a přidruženými diagnózami",bez omezení věku,"počet klientů - 1
okamžitá kapacita; působnost služby: ORP Valašské Meziříčí, Vsetín, Rožnov pod Radhoštěm, Bystřice pod Hostýnem","pondělí:
11:00 - 18:00
úterý:
8:00 - 18:00
středa:
8:00 - 18:00
čtvrtek:
8:00 - 18:00
pátek:
sobota:
neděle:",['neuvedeny']
odlehčovací služby,Odlehčovací služby (4703361),CENTRUM HÁJEK z.ú.,"Křimická 756, 330 27 Vejprnice",22845798,Centrum Hájek,Lenka Šiková,"Šťáhlavice 158, Šťáhlavy, 332 04 Nezvěstice",13.7.2015,ambulantní,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením","děti předškolního věku (1 - 6 let)
mladší děti (7 –10 let)
starší děti (11 – 15 let)","počet klientů - 2
okamžitá kapacita","pondělí:
7:30 - 16:00
úterý:
7:30 - 16:00
středa:
7:30 - 16:00
čtvrtek:
7:30 - 16:00
pátek:
7:30 - 16:00
sobota:
7:30 - 16:00
neděle:
7:30 - 16:00","['602 692 763', 'sikovalenka@centrumhajek.eu', 'www.centrumhajek.eu']"
odlehčovací služby,Odlehčovací služby (4675114),Centrum Kociánka,"Kociánka 93/2, Královo Pole, 612 00 Brno 12",93378,Centrum Kociánka pracoviště Březejc,Marie Doležalová,"Sviny 13, 594 01 Velké Meziříčí",20.7.2013,pobytové,"osoby s kombinovaným postižením
cílovou skupinou jsou osoby s kombinovaným postižením - primárně tělesné postižení s přidruženou lehkou nebo středně těžkou mentální retardací bez poruch chování narušujících kolektivní soužití a osoby s poruchou autistického spektra bez poruch chování narušujících kolektivní soužití a chování, které vyžaduje vysokou míru podpory
osoby s mentálním postižením
cílovou skupinou jsou osoby s mentálním postižením - osoby s lehkou nebo středně těžkou mentální retardací bez poruch chování narušujících kolektivní soužití a chování, které vyžaduje vysokou míru podpory, a osoby s poruchou autistického spektra (osoby s poruchou autistického spektra pouze Centrum Kociánka, pracoviště Březejc) bez poruch chování narušujících kolektivní soužití a chování, které vyžaduje vysokou míru podpory.
osoby s tělesným postižením",- od 6 do 40 let,"počet lůžek - 16
Centrum Kociánka, pracoviště Brno (6 lůžek) - poskytuje nepřetržitě. Centrum Kociánka, pracoviště Březejc (10 lůžek) - poskytuje pondělí - čtvrtek: nepřetržitě, pátek: do 18:00 hod., neděle: od 18:00 hod., Každý druhý víkend v měsíci: nepřetržitě. V době letních prázdnin se služba poskytuje v měsíci červenci: nepřetržitě",poskytuje nepřetržitě,"['515 504 348', '566 522 089', 'magdalena.pospisilova@kocianka.cz', 'marie.dolezalova@kocianka.cz', 'http://www.kocianka.cz']"
odlehčovací služby,Odlehčovací služby (8363211),"CENTRUM NA VERANDĚ BEROUN, z.ú","Wagnerovo nám. 1541, Beroun-Město, 266 01 Beroun 1",3187276,Odlehčovací služba Centrum Na Verandě,Hana Červenková,"Wagnerovo nám. 1541, Beroun-Město, 266 01 Beroun 1",1.9.2014,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s kombinovaným postižením
senioři",- 55 let a výše,počet lůžek - 6,poskytuje nepřetržitě,"['603 455 807', '732 367 659', 'domov@cnaverande.cz', 'www.centrumnaverande.cz']"
odlehčovací služby,Odlehčovací služby (4415569),Centrum pobytových a terénních sociálních služeb Zbůch,"V Sídlišti 347, 330 22 Zbůch",411949,Centrum pobytových a terénních sociálních služeb Zbůch,Mgr. Dagmar Terelmešová,"V Sídlišti 347, 330 22 Zbůch",1.9.2014,pobytové,"osoby s kombinovaným postižením
Cílovou skupinou jsou uživatelé, kteří ukončili povinnou školní docházku, žijí trvale v rodinném prostředí a potřebují pobytovou sociální službu na přechodnou dobu, po kterou péči nemůže zajistit pečující osoba.
osoby s tělesným postižením
Cílovou skupinou jsou uživatelé, kteří ukončili povinnou školní docházku, žijí trvale v rodinném prostředí a potřebují pobytovou sociální službu na přechodnou dobu, po kterou péči nemůže zajistit pečující osoba.
osoby se zdravotním postižením
Cílovou skupinou jsou uživatelé, kteří ukončili povinnou školní docházku, žijí trvale v rodinném prostředí a potřebují pobytovou sociální službu na přechodnou dobu, po kterou péči nemůže zajistit pečující osoba.","dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet lůžek - 10,poskytuje nepřetržitě,"['377830611', '377830600', 'info@centrumzbuch.cz', 'www.centrumzbuch.cz']"
odlehčovací služby,Odlehčovací služby (9351981),Centrum pro rodinu a sociální péči z. s.,"Kostelní náměstí 3172/1, Moravská Ostrava, 728 02 Ostrava",48804517,Středisko VÝZVA - odlehčovací služba RESPIT,Bc. Alexandra Karasová,"Syllabova 19, Vítkovice, 703 00 Ostrava 3",1.1.2004,ambulantní,"osoby s kombinovaným postižením
osoby s tělesným postižením v kombinaci s dalším postižením, osoby s mentálním postižením v kombinaci s dalším postižením, včetně poruch autistického spektra, pro osoby s agresivním chováním službu neposkytujeme.
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením",od 1 do 35 let,počet klientů - 15,"pondělí:
úterý:
13:00 - 20:00 - po domluvě mezi 13 - 20 hodinou
středa:
čtvrtek:
pátek:
13:00 - 20:00 - po domluvě mezi 13 - 20 hodinou
sobota:
neděle:",['neuvedeny']
odlehčovací služby,Odlehčovací služby (5362299),"CENTRUM PRO ZDRAVOTNĚ POSTIŽENÉ Libereckého kraje, o.p.s.","Zahradní 415/10, Liberec XI-Růžodol I, 460 01 Liberec 1",26593980,Centrum pro zdravotně postižené Jablonec nad Nisou,Mgr. Žaneta Najmanová,"Emilie Floriánové 1736/8, Jablonec nad Nisou, 466 01 Jablonec nad Nisou 1",1.9.2010,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",Sociální služba je určena osobám od 3 let věku.,"počet klientů - 6
Maximální okamžitá kapacita sociální služby.",poskytuje nepřetržitě,"['483 356 218', '483 356 218', 'czpjbc@volny.cz', 'www.czplk.cz']"
odlehčovací služby,Odlehčovací služby (6806376),"CENTRUM PRO ZDRAVOTNĚ POSTIŽENÉ Libereckého kraje, o.p.s.","Zahradní 415/10, Liberec XI-Růžodol I, 460 01 Liberec 1",26593980,Centrum pro zdravotně postižené Semily,Bc. Terezie Hlubučková,"Archivní 570, Podmoklice, 513 01 Semily",1.9.2010,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",Sociální služba je určena osobám od 3 let věku.,"počet klientů - 6
Maximální okamžitá kapacita sociální služby.",poskytuje nepřetržitě,"['488 577 841', '488 577 841', 'czpsm@volny.cz', 'www.czplk.cz']"
odlehčovací služby,Odlehčovací služby (1656576),"CENTRUM PRO ZDRAVOTNĚ POSTIŽENÉ Libereckého kraje, o.p.s.","Zahradní 415/10, Liberec XI-Růžodol I, 460 01 Liberec 1",26593980,Centrum pro zdravotně postižené Česká Lípa,Bc. Kateřina Némethová,"Konopeova 812/2, Česká Lípa, 470 01 Česká Lípa 1",1.1.2000,terénní,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",- děti předškolního věku (1 – 6 let) - mladší děti (7 – 10 let) - starší děti (11 – 15 let) - dorost (16 – 18 let) - mladí dospělí (19 – 26 let) - dospělí (27 – 64 let) - mladší senioři (65 – 80 let) - starší senioři (nad 80 let). Sociální služba je určena osobám od 3 let věku.,"počet klientů - 10
Maximální okamžitá kapacita sociální služby.",poskytuje nepřetržitě,"['487 853 481', '487 853 481', 'czpcl@volny.cz', 'www.czplk.cz']"
odlehčovací služby,Odlehčovací služby (2164863),"CENTRUM PRO ZDRAVOTNĚ POSTIŽENÉ Libereckého kraje, o.p.s.","Zahradní 415/10, Liberec XI-Růžodol I, 460 01 Liberec 1",26593980,Centrum pro zdravotně postižené Liberec,"Jana Krobová, DiS.","Zahradní 415/10, Liberec XI-Růžodol I, 460 01 Liberec 1",1.1.2000,terénní,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",- děti předškolního věku (1 – 6 let) - mladší děti (7 – 10 let) - starší děti (11 – 15 let) - dorost (16 – 18 let) - mladí dospělí (19 – 26 let) - dospělí (27 – 64 let) - mladší senioři (65 – 80 let) - starší senioři (nad 80 let). Sociální služba je určena osobám od 3 let věku.,"počet klientů - 6
Maximální okamžitá kapacita sociální služby.",poskytuje nepřetržitě,"['485 104 044', '485 104 044', 'czplk@volny.cz', 'www.czplk.cz']"
odlehčovací služby,Odlehčovací služby (2202989),"Centrum seniorů Mělník, příspěvková organizace","Fügnerova 3523, Mělník, 276 01 Mělník 1",70824282,Centrum seniorů Mělník - Odlehčovací služby,PhDr. Jiří Vronský,"Fügnerova 3523, Mělník, 276 01 Mělník 1",13.7.2009,pobytové,"osoby s tělesným postižením
osoby se zdravotním postižením
senioři",- 50 let a výše,"počet lůžek - 8
Sociální služba je poskytována maximálně 3 měsíce, jedenkrát lze pobyt prodloužit o 3 měsíce.",poskytuje nepřetržitě,"['315 630 040', '605 231 989', '315 627 194', 'j.vronsky@ssmm.cz', 'www.ssmm.cz']"
odlehčovací služby,Odlehčovací služby (5693449),"Centrum Seňorina, z.s.","Krupá 63, 281 63 Kostelec nad Černými Lesy",4347536,Centrum Seňorina služby pro seniory,Mgr. Jaroslava Švarcbachová,"Na poříčí 1933/36, Praha 1-Nové Město, 110 00 Praha 1",1.8.2017,pobytové,"osoby s chronickým duševním onemocněním
osoby s mentálním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 11,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (5516288),"Centrum služeb pro seniory Kyjov, příspěvková organizace","Strážovská 1095/1, Kyjov, 697 01 Kyjov 1",46937099,"Centrum služeb pro seniory Kyjov, příspěvková organizace",Mgr. Bc. Ladislava Brančíková,"Strážovská 1095/1, Kyjov, 697 01 Kyjov 1",1.11.2013,pobytové,"senioři
Odlehčovací služba je určena seniorům a seniorům s demencí nebo Alzheimerovou chorobou, kteří mají sníženou soběstačnost a pečují o ně rodinní příslušníci v jejich přirozeném prostředí.","mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 5
Jedná se o okamžitou maximální kapacitu.",poskytuje nepřetržitě,"['518 699 516', 'reditel@centrumproseniorykyjov.cz', 'http://www.centrumproseniorykyjov.cz']"
odlehčovací služby,Odlehčovací služby (1740941),Centrum služeb pro zdravotně postižené Louny o.p.s.,"Rakovnická 2502, Louny, 440 01 Louny 1",27043797,Centrum služeb pro zdravotně postižené Louny o.p.s.,Venuše Firstlová,"Rakovnická 2502, Louny, 440 01 Louny 1",1.1.2008,terénní,"osoby s chronickým onemocněním
Služba není určena osobám se záchvatovým onemocněním a osobám s chronickým duševním onemocněním. Služba je poskytována na území měst Louny a Postoloprty a spádových obcí Lounska.
osoby s mentálním postižením
od 01.01.2018
osoby s tělesným postižením
Služba není určena osobám se záchvatovým onemocněním a osobám s chronickým duševním onemocněním. Služba je poskytována na území měst Louny a Postoloprty a spádových obcí Lounska.
senioři
Služba není určena osobám se záchvatovým onemocněním a osobám s chronickým duševním onemocněním. Služba je poskytována na území měst Louny a Postoloprty a spádových obcí Lounska.","Služba je poskytována na území měst Louny, Postoloprty a spádových obcí Lounska.","počet klientů - 2
Jedná se o okamžitou kapacitu. POčet klientů při práci s jednotlivcem: 2.","pondělí:
7:30 - 16:00 - po předchozí domluvě i mimo stanovený čas
úterý:
7:30 - 16:00 - po předchozí domluvě i mimo stanovený čas
středa:
7:30 - 16:00 - po předchozí domluvě i mimo stanovený čas
čtvrtek:
7:30 - 16:00 - po předchozí domluvě i mimo stanovený čas
pátek:
7:30 - 16:00 - po předchozí domluvě i mimo stanovený čas
sobota:
neděle:","['415654308', 'szdp.louny@seznam.cz', 'http://www.centrum-louny.wbs.cz']"
odlehčovací služby,Odlehčovací služby (9267613),"Centrum služeb pro zdravotně postižené Žatec, z. s.","Masarykova 1335, Žatec, 438 01 Žatec 1",27040143,Centrum služeb pro zdravotně postižené Žatec - Odlehčovací služby,Ivana Mierva Petirová,"Libočany 28, 439 75 Libočany",1.8.2008,pobytové,"osoby s chronickým duševním onemocněním
Sociální služba s cílovou skupinou osoby s chronickým duševním onemocněním je určena pro osoby se stařeckou demencí nebo Alzheimerovou chorobou
osoby s chronickým onemocněním
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři",Sociální služba s cílovou skupinou osoby s chronickým duševním onemocněním je určena pro osoby se stařeckou demencí nebo Alzheimerovou chorobou.,počet klientů - 12,poskytuje nepřetržitě,"['773407310', 'centrumsluzeb-zatec@centrum.cz', 'www.centrumsluzeb-zatec.wbs.cz']"
odlehčovací služby,Odlehčovací služby (3077249),"Centrum služeb Slunce všem, o.p.s.","Pražská 910, 273 51 Unhošť",27155064,"Centrum služeb Slunce všem, o.p.s.",PaedDr. Blanka Dvořáková,"Pražská 910, 273 51 Unhošť",2.1.2007,pobytové,"osoby s chronickým duševním onemocněním
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby se zdravotním postižením
senioři","děti předškolního věku (1 - 6 let)
mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 5,poskytuje nepřetržitě,['neuvedeny']
